OBJECT_NAME,MEAN_MOTION,NORAD_CAT_ID,SEMIMAJOR_AXIS,PERIOD,OBJECT_TYPE,RCS_SIZE,AVG_ALTITUDE,Clusters
DELTA 1 DEB,12.22332596,10828,7960.535,117.808,DEBRIS,SMALL,1590.535,0
COSMOS 1084,12.50456875,11299,7840.722,115.158,PAYLOAD,MEDIUM,1470.722,0
COSMOS 1085,12.45260136,11300,7862.52,115.638,PAYLOAD,MEDIUM,1492.52,0
COSMOS 1086,12.47849588,11301,7851.639,115.399,PAYLOAD,MEDIUM,1481.639,0
COSMOS 1087,12.42846589,11302,7872.696,115.863,PAYLOAD,MEDIUM,1502.696,0
COSMOS 1088,12.40129538,11303,7884.191,116.117,PAYLOAD,MEDIUM,1514.191,0
SL-8 R/B,12.24223813,11304,7952.334,117.626,ROCKET BODY,LARGE,1582.334,0
COSMOS 1130,12.56232955,11538,7816.669,114.628,PAYLOAD,MEDIUM,1446.669,0
COSMOS 1131,12.5435607,11539,7824.464,114.8,PAYLOAD,MEDIUM,1454.464,0
COSMOS 1132,12.52632014,11540,7831.642,114.958,PAYLOAD,MEDIUM,1461.642,0
COSMOS 1133,12.50848256,11541,7839.086,115.122,PAYLOAD,MEDIUM,1469.086,0
COSMOS 1134,12.49044901,11542,7846.629,115.288,PAYLOAD,MEDIUM,1476.629,0
COSMOS 1135,12.47069685,11543,7854.913,115.471,PAYLOAD,MEDIUM,1484.913,0
COSMOS 1136,12.45276822,11544,7862.45,115.637,PAYLOAD,MEDIUM,1492.45,0
COSMOS 1137,12.43166397,11545,7871.346,115.833,PAYLOAD,MEDIUM,1501.346,0
SL-8 R/B,12.22286315,11546,7960.736,117.812,ROCKET BODY,LARGE,1590.736,0
COSMOS 1083,12.52579824,11298,7831.86,114.963,PAYLOAD,MEDIUM,1461.86,0
COSMOS 1082,12.54926843,11297,7822.092,114.748,PAYLOAD,MEDIUM,1452.092,0
COSMOS 1081,12.57254587,11296,7812.434,114.535,PAYLOAD,MEDIUM,1442.434,0
SL-8 R/B,12.1915919,11136,7974.343,118.114,ROCKET BODY,LARGE,1604.343,0
COSMOS 1035,12.55668881,11044,7819.01,114.68,PAYLOAD,MEDIUM,1449.01,0
COSMOS 1036,12.50816295,11045,7839.219,115.125,PAYLOAD,MEDIUM,1469.219,0
COSMOS 1037,12.48377062,11046,7849.428,115.35,PAYLOAD,MEDIUM,1479.428,0
COSMOS 1038,12.45900715,11047,7859.825,115.579,PAYLOAD,MEDIUM,1489.825,0
COSMOS 1039,12.3799905,11048,7893.234,116.317,PAYLOAD,MEDIUM,1523.234,0
COSMOS 1040,12.40849465,11049,7881.141,116.05,PAYLOAD,MEDIUM,1511.141,0
COSMOS 1041,12.43293745,11050,7870.808,115.821,PAYLOAD,MEDIUM,1500.808,0
DELTA 1 R/B(1),12.19876458,11636,7971.217,118.045,ROCKET BODY,LARGE,1601.217,0
SL-8 R/B,12.20488924,11051,7968.55,117.986,ROCKET BODY,LARGE,1598.55,0
COSMOS 1052,12.5369132,11129,7827.23,114.861,PAYLOAD,MEDIUM,1457.23,0
COSMOS 1053,12.51463144,11130,7836.518,115.065,PAYLOAD,MEDIUM,1466.518,0
