OBJECT_NAME,MEAN_MOTION,NORAD_CAT_ID,SEMIMAJOR_AXIS,PERIOD,OBJECT_TYPE,RCS_SIZE,AVG_ALTITUDE,Clusters
FENGYUN 1C DEB,14.18984792,32431,7206.925,101.481,DEBRIS,SMALL,836.925,0
CZ-4 DEB,13.9093423,37616,7303.496,103.528,DEBRIS,SMALL,933.496,0
CZ-4 DEB,14.03752855,37617,7258.966,102.582,DEBRIS,SMALL,888.966,0
CZ-4 DEB,14.06400339,37619,7249.853,102.389,DEBRIS,SMALL,879.853,0
THOR ABLESTAR DEB,14.04939852,21986,7254.876,102.495,DEBRIS,SMALL,884.876,0
CZ-4 DEB,14.16392451,37623,7215.716,101.667,DEBRIS,SMALL,845.716,0
COSMOS 1066,14.11656593,11165,7231.845,102.008,PAYLOAD,LARGE,861.845,0
SL-3 R/B,14.13789539,11166,7224.57,101.854,ROCKET BODY,LARGE,854.57,0
CZ-4 DEB,14.07151519,37624,7247.273,102.334,DEBRIS,SMALL,877.273,0
DELTA 1 DEB,14.18961933,37635,7207.003,101.483,DEBRIS,SMALL,837.003,0
CZ-4 DEB,14.04685724,37614,7255.751,102.514,DEBRIS,SMALL,885.751,0
DELTA 1 DEB,14.01955878,37636,7265.167,102.714,DEBRIS,SMALL,895.167,0
DELTA 1 DEB,14.09011945,37638,7240.892,102.199,DEBRIS,SMALL,870.892,0
DELTA 1 DEB,14.1814034,37640,7209.786,101.541,DEBRIS,SMALL,839.786,0
METEOR 2-4,14.11908409,11288,7230.986,101.99,PAYLOAD,LARGE,860.986,0
SL-3 R/B,14.11632959,11289,7231.926,102.01,ROCKET BODY,LARGE,861.926,0
SL-3 DEB,14.10878206,11290,7234.505,102.064,DEBRIS,SMALL,864.505,0
DELTA 1 DEB,14.19539961,37644,7205.046,101.441,DEBRIS,SMALL,835.046,0
DELTA 1 DEB,14.07309496,37646,7246.73,102.323,DEBRIS,SMALL,876.73,0
DELTA 1 DEB,13.8779585,37649,7314.502,103.762,DEBRIS,SMALL,944.502,0
DELTA 1 DEB,14.16336207,37652,7215.907,101.671,DEBRIS,SMALL,845.907,0
DELTA 1 DEB,13.93857701,37637,7293.28,103.31,DEBRIS,SMALL,923.28,0
DELTA 1 DEB,14.03932422,37653,7258.347,102.569,DEBRIS,SMALL,888.347,0
CZ-4 DEB,13.93198545,37613,7295.58,103.359,DEBRIS,SMALL,925.58,0
FENGYUN 1C DEB,14.20715144,37596,7201.072,101.357,DEBRIS,SMALL,831.072,0
SL-16 DEB,14.06219029,22295,7250.476,102.402,DEBRIS,MEDIUM,880.476,0
FENGYUN 1C DEB,14.12474883,43214,7229.052,101.949,DEBRIS,SMALL,859.052,0
FENGYUN 1C DEB,14.12509658,43213,7228.933,101.946,DEBRIS,SMALL,858.933,0
SL-16 DEB,14.10203282,22294,7236.813,102.113,DEBRIS,MEDIUM,866.813,0
COSMOS 2251 DEB,14.01890366,37533,7265.393,102.718,DEBRIS,SMALL,895.393,0
SL-16 R/B,14.15073051,22285,7220.201,101.762,ROCKET BODY,LARGE,850.201,0
OPS 7613 (P/L 5) DEB,13.95607481,43191,7287.183,103.181,DEBRIS,SMALL,917.183,0
