OBJECT_NAME,MEAN_MOTION,NORAD_CAT_ID,SEMIMAJOR_AXIS,PERIOD,OBJECT_TYPE,RCS_SIZE,AVG_ALTITUDE,Clusters
FLOCK 4P 2,15.21545258,44813,6879.316,94.641,PAYLOAD,SMALL,509.316,0
COSMOS 2251 DEB,14.96392173,35291,6956.192,96.231,DEBRIS,SMALL,586.192,0
COSMOS 2251 DEB,15.03514278,35292,6934.207,95.776,DEBRIS,SMALL,564.207,0
CZ-4 DEB,14.770108,35325,7016.912,97.494,DEBRIS,SMALL,646.912,0
PSLV DEB,14.84034366,35341,6994.755,97.033,DEBRIS,SMALL,624.755,0
PSLV DEB,15.26628239,35349,6864.037,94.326,DEBRIS,SMALL,494.037,0
SL-18 DEB,14.86504325,35354,6987.005,96.872,DEBRIS,SMALL,617.005,0
SL-18 DEB,14.8178861,35356,7001.821,97.18,DEBRIS,SMALL,631.821,0
SL-18 DEB,14.84318177,35359,6993.864,97.014,DEBRIS,SMALL,623.864,0
SL-18 DEB,14.82238943,35360,7000.403,97.15,DEBRIS,SMALL,630.403,0
COSMOS 252 DEB,14.76272308,14420,7019.252,97.543,DEBRIS,SMALL,649.252,0
COSMOS 249 DEB *,14.88415748,14417,6981.022,96.747,DEBRIS,SMALL,611.022,0
CZ-4 DEB,15.27859872,35374,6860.348,94.249,DEBRIS,SMALL,490.348,0
CZ-4 DEB,15.00121467,35375,6944.658,95.992,DEBRIS,SMALL,574.658,0
CZ-4 DEB,15.03278822,35380,6934.931,95.791,DEBRIS,SMALL,564.931,0
CZ-4 DEB,14.88921577,35398,6979.441,96.714,DEBRIS,SMALL,609.441,0
SL-14 R/B,14.83834723,14373,6995.383,97.046,ROCKET BODY,LARGE,625.383,0
COSMOS 1500,15.19369115,14372,6885.883,94.776,PAYLOAD,LARGE,515.883,0
SL-14 R/B,14.83384216,14148,6996.799,97.075,ROCKET BODY,LARGE,626.799,0
COSMOS 2251 DEB,14.99488882,35460,6946.611,96.033,DEBRIS,SMALL,576.611,0
COSMOS 2251 DEB,14.79673658,35451,7008.491,97.319,DEBRIS,SMALL,638.491,0
SL-3 R/B,15.11470389,14208,6909.852,95.271,ROCKET BODY,LARGE,539.852,0
SL-3 DEB,15.18798596,14209,6887.607,94.812,DEBRIS,SMALL,517.607,0
COSMOS 2251 DEB,14.81495648,35431,7002.744,97.199,DEBRIS,SMALL,632.744,0
COSMOS 2251 DEB,14.79254226,35279,7009.816,97.346,DEBRIS,SMALL,639.816,0
COSMOS 2251 DEB,15.25862747,35429,6866.333,94.373,DEBRIS,SMALL,496.333,0
SL-3 DEB,14.98206333,14229,6950.575,96.115,DEBRIS,SMALL,580.575,0
CZ-2C DEB,14.81884786,35417,7001.518,97.174,DEBRIS,SMALL,631.518,0
TITAN 4B DEB,14.90779515,35415,6973.641,96.594,DEBRIS,SMALL,603.641,0
CZ-4B R/B,15.09104021,46481,6917.074,95.421,ROCKET BODY,LARGE,547.074,0
SL-8 DEB,14.7341666,14346,7028.319,97.732,DEBRIS,SMALL,658.319,0
SL-24 DEB,15.32013834,35413,6847.942,93.994,DEBRIS,SMALL,477.942,0
CZ-4B DEB,14.81177031,46480,7003.748,97.22,DEBRIS,LARGE,633.748,0
COSMOS 1470,15.11714213,14147,6909.109,95.256,PAYLOAD,LARGE,539.109,0
CZ-2D DEB,15.18855051,35273,6887.437,94.808,DEBRIS,SMALL,517.437,0
CZ-2D DEB,15.1701298,35271,6893.011,94.923,DEBRIS,SMALL,523.011,0
FENGYUN 1C DEB,15.04307111,35099,6931.77,95.725,DEBRIS,SMALL,561.77,0
SL-3 DEB,15.13202568,14928,6904.578,95.162,DEBRIS,SMALL,534.578,0
FENGYUN 1C DEB,15.15425668,35114,6897.824,95.023,DEBRIS,SMALL,527.824,0
SL-8 DEB *,14.86964551,14866,6985.563,96.842,DEBRIS,SMALL,615.563,0
SL-14 R/B,14.83705819,14820,6995.788,97.054,ROCKET BODY,LARGE,625.788,0
COSMOS 1544,15.2898369,14819,6856.986,94.18,PAYLOAD,LARGE,486.986,0
SL-8 DEB *,14.77498541,14818,7015.368,97.462,DEBRIS,SMALL,645.368,0
SL-8 DEB *,14.90090545,14817,6975.79,96.638,DEBRIS,SMALL,605.79,0
FENGYUN 1C DEB,15.11627702,35145,6909.373,95.262,DEBRIS,SMALL,539.373,0
SL-8 DEB *,14.96358978,14807,6956.295,96.234,DEBRIS,SMALL,586.295,0
FENGYUN 1C DEB,14.77181772,35161,7016.371,97.483,DEBRIS,SMALL,646.371,0
SL-8 DEB,14.85254575,14805,6990.924,96.953,DEBRIS,SMALL,620.924,0
SL-8 DEB *,15.03231307,14803,6935.077,95.794,DEBRIS,SMALL,565.077,0
RESURS O1 DEB,14.82508412,46508,6999.554,97.133,DEBRIS,SMALL,629.554,0
LANDSAT 5,14.9231116,14780,6968.868,96.495,PAYLOAD,LARGE,598.868,0
FENGYUN 1C DEB,14.80339665,35185,7006.389,97.275,DEBRIS,SMALL,636.389,0
CZ-4B DEB,14.78801251,46484,7011.248,97.376,DEBRIS,SMALL,641.248,0
CZ-4 DEB,15.218788,35268,6878.311,94.62,DEBRIS,SMALL,508.311,0
ERS 1 DEB,14.79189269,35261,7010.021,97.351,DEBRIS,SMALL,640.021,0
ERS 1 DEB,14.78186184,35258,7013.192,97.417,DEBRIS,SMALL,643.192,0
TBA - TO BE ASSIGNED,14.87681205,81546,6983.32,96.795,TBA,,613.32,0
COSMOS 1515,15.18775105,14551,6887.678,94.813,PAYLOAD,LARGE,517.678,0
SL-14 R/B,14.83554819,14552,6996.263,97.064,ROCKET BODY,LARGE,626.263,0
CZ-2D DEB,15.17569096,35272,6891.327,94.889,DEBRIS,SMALL,521.327,0
FENGYUN 1C DEB,14.91275673,35226,6972.094,96.562,DEBRIS,SMALL,602.094,0
FENGYUN 1C DEB,14.7825703,35214,7012.968,97.412,DEBRIS,SMALL,642.968,0
FENGYUN 1C DEB,14.84082469,35213,6994.604,97.03,DEBRIS,SMALL,624.604,0
SL-3 DEB,15.34707257,14631,6839.927,93.829,DEBRIS,SMALL,469.927,0
COSMOS 1536,15.05828087,14699,6927.102,95.628,PAYLOAD,LARGE,557.102,0
SL-14 R/B,14.83333194,14700,6996.96,97.079,ROCKET BODY,LARGE,626.96,0
CZ-4B DEB,14.95289551,46483,6959.611,96.302,DEBRIS,SMALL,589.611,0
FENGYUN 1C DEB,14.98468374,35222,6949.765,96.098,DEBRIS,SMALL,579.765,0
COSMOS 1461,14.95234638,14064,6959.782,96.306,PAYLOAD,LARGE,589.782,0
FALCON 1 R/B,14.7820591,35579,7013.13,97.415,ROCKET BODY,LARGE,643.13,0
TBA - TO BE ASSIGNED,14.75911197,81678,7020.397,97.567,TBA,,650.397,0
COSMOS 2251 DEB,15.21364972,36004,6879.859,94.652,DEBRIS,SMALL,509.859,0
IRIDIUM 33 DEB,14.90021771,36017,6976.005,96.643,DEBRIS,SMALL,606.005,0
SL-19 R/B,14.88315751,36039,6981.335,96.754,ROCKET BODY,LARGE,611.335,0
PSLV DEB,14.79623152,27582,7008.651,97.322,DEBRIS,SMALL,638.651,0
COSMOS 2251 DEB,14.78853681,36050,7011.082,97.373,DEBRIS,SMALL,641.082,0
COSMOS 2251 DEB,14.87974328,36057,6982.403,96.776,DEBRIS,SMALL,612.403,0
COSMOS 2251 DEB,14.86656394,36070,6986.529,96.862,DEBRIS,SMALL,616.529,0
COSMOS 2251 DEB,14.84133651,36077,6994.444,97.026,DEBRIS,SMALL,624.444,0
COSMOS 2251 DEB,15.07570123,36079,6921.765,95.518,DEBRIS,SMALL,551.765,0
SL-14 R/B,14.84279309,13553,6993.986,97.017,ROCKET BODY,LARGE,623.986,0
COSMOS 1408,15.28805864,13552,6857.518,94.191,PAYLOAD,LARGE,487.518,0
FENGYUN 1C DEB,14.7823523,36159,7013.037,97.413,DEBRIS,SMALL,643.037,0
TBA - TO BE ASSIGNED,14.77702497,81794,7014.723,97.449,TBA,,644.723,0
FENGYUN 1C DEB,14.92501377,36169,6968.276,96.482,DEBRIS,SMALL,598.276,0
FENGYUN 1C DEB,15.05777563,36241,6927.257,95.632,DEBRIS,SMALL,557.257,0
FENGYUN 1C DEB,14.86514085,36243,6986.974,96.871,DEBRIS,SMALL,616.974,0
CZ-4B DEB,14.95288399,36289,6959.615,96.302,DEBRIS,SMALL,589.615,0
COSMOS 2251 DEB,14.79140928,36422,7010.174,97.354,DEBRIS,SMALL,640.174,0
COSMOS 2251 DEB,14.88103254,36378,6981.999,96.767,DEBRIS,SMALL,611.999,0
YAOGAN 1 DEB,14.87900526,36365,6982.633,96.781,DEBRIS,LARGE,612.633,0
SL-8 DEB,14.82706757,13030,6998.93,97.12,DEBRIS,SMALL,628.93,0
COSMOS 1340,15.21442881,13067,6879.625,94.647,PAYLOAD,LARGE,509.625,0
SL-3 R/B,15.07652813,13068,6921.512,95.513,ROCKET BODY,LARGE,551.512,0
COSMOS 2251 DEB,14.83146322,35996,6997.547,97.091,DEBRIS,SMALL,627.547,0
SL-3 R/B,15.09143336,13121,6916.953,95.418,ROCKET BODY,LARGE,546.953,0
SL-3 R/B,14.98922352,13154,6948.362,96.069,ROCKET BODY,LARGE,578.362,0
COSMOS 1378,15.23709319,13271,6872.801,94.506,PAYLOAD,LARGE,502.801,0
SL-14 R/B,14.84756966,13272,6992.486,96.986,ROCKET BODY,LARGE,622.486,0
LANDSAT 4,15.17783056,13367,6890.679,94.875,PAYLOAD,LARGE,520.679,0
SL-3 R/B,15.07431742,13403,6922.188,95.527,ROCKET BODY,LARGE,552.188,0
CZ-4B DEB,14.98726515,36290,6948.967,96.082,DEBRIS,SMALL,578.967,0
COSMOS 1356,15.42327941,13153,6817.378,93.365,PAYLOAD,LARGE,447.378,0
COSMOS 2251 DEB,15.02042178,35984,6938.737,95.869,DEBRIS,SMALL,568.737,0
COSMOS 2251 DEB,14.8549424,35983,6990.172,96.937,DEBRIS,SMALL,620.172,0
COSMOS 2251 DEB,14.86739155,35968,6986.269,96.856,DEBRIS,SMALL,616.269,0
COSMOS 2251 DEB,14.89572643,35699,6977.407,96.672,DEBRIS,SMALL,607.407,0
SL-24 DEB,14.75741927,35689,7020.934,97.578,DEBRIS,LARGE,650.934,0
