OBJECT_NAME,MEAN_MOTION,NORAD_CAT_ID,SEMIMAJOR_AXIS,PERIOD,OBJECT_TYPE,RCS_SIZE,AVG_ALTITUDE,Clusters
ASTRO H,14.98843147,41337,6948.606,96.074,PAYLOAD,LARGE,578.606,0
PSLV R/B,14.94942066,36800,6960.69,96.325,ROCKET BODY,LARGE,590.69,0
STUDSAT,14.88071532,36796,6982.098,96.77,PAYLOAD,MEDIUM,612.098,0
PAN SAT,15.29885547,25520,6854.291,94.125,PAYLOAD,MEDIUM,484.291,0
ATLAS 41E DEB,15.20293578,15616,6883.091,94.719,DEBRIS,SMALL,513.091,0
DOVE 2,15.07973533,39132,6920.53,95.492,PAYLOAD,SMALL,550.53,0
AIST 2,15.05157582,39133,6929.159,95.671,PAYLOAD,MEDIUM,559.159,0
TBA - TO BE ASSIGNED,14.77675128,82616,7014.809,97.45,TBA,,644.809,0
TURKSAT 3U,14.81047288,39152,7004.157,97.228,PAYLOAD,MEDIUM,634.157,0
CUBEBUG 1,14.80929626,39153,7004.528,97.236,PAYLOAD,SMALL,634.528,0
CZ-2D R/B,14.75763272,39154,7020.866,97.577,ROCKET BODY,LARGE,650.866,0
SL-27 R/B,15.32655536,39195,6846.03,93.955,ROCKET BODY,LARGE,476.03,0
SL-14 R/B,14.84431514,15593,6993.508,97.007,ROCKET BODY,LARGE,623.508,0
FENGYUN 1C DEB,14.85948419,36732,6988.748,96.908,DEBRIS,SMALL,618.748,0
PEGASUS R/B,14.79830977,39198,7007.995,97.308,ROCKET BODY,LARGE,637.995,0
CZ-4C R/B,15.05955982,39211,6926.71,95.62,ROCKET BODY,LARGE,556.71,0
FENGYUN 1C DEB,15.02456013,32344,6937.463,95.843,DEBRIS,SMALL,567.463,0
CZ-4C DEB,14.72964958,39212,7029.756,97.762,DEBRIS,LARGE,659.756,0
FLOCK 3P 19,15.30306615,41955,6853.034,94.099,PAYLOAD,SMALL,483.034,0
FENGYUN 1C DEB,15.09491666,32351,6915.889,95.396,DEBRIS,SMALL,545.889,0
FLOCK 4V 3,15.11307325,46322,6910.349,95.282,PAYLOAD,MEDIUM,540.349,0
COSMOS 1666,15.19491987,15889,6885.512,94.769,PAYLOAD,LARGE,515.512,0
SL-14 R/B,14.83476543,15890,6996.509,97.069,ROCKET BODY,LARGE,626.509,0
FLOCK 4V 9,15.10667669,46282,6912.3,95.322,PAYLOAD,MEDIUM,542.3,0
FLOCK 3P 18,15.32053156,41957,6847.824,93.992,PAYLOAD,SMALL,477.824,0
IRIDIUM 82,14.91526769,25467,6971.311,96.545,PAYLOAD,LARGE,601.311,0
FLOCK 3P 22,15.31761463,41958,6848.694,94.009,PAYLOAD,SMALL,478.694,0
COSMOS 1633,15.32171494,15592,6847.472,93.984,PAYLOAD,LARGE,477.472,0
IRIDIUM 2,15.19499853,25527,6885.488,94.768,PAYLOAD,LARGE,515.488,0
COSMOS 1602,15.1434224,15331,6901.113,95.091,PAYLOAD,LARGE,531.113,0
SL-14 R/B,14.83463454,15332,6996.55,97.07,ROCKET BODY,LARGE,626.55,0
OSCAR 36 (UOSAT 12),14.80942656,25693,7004.487,97.235,PAYLOAD,LARGE,634.487,0
ERBS,15.52769865,15354,6786.78,92.738,PAYLOAD,LARGE,416.78,0
FENGYUN 1C DEB,14.85131535,29783,6991.31,96.961,DEBRIS,SMALL,621.31,0
CZ-4 DEB,14.88431171,39052,6980.974,96.746,DEBRIS,SMALL,610.974,0
METEOR 2-5 DEB,14.92140481,36903,6969.4,96.506,DEBRIS,SMALL,599.4,0
SL-3 DEB,15.03647807,25655,6933.796,95.767,DEBRIS,SMALL,563.796,0
METEOR 2-5 DEB,14.89508804,36902,6977.606,96.676,DEBRIS,SMALL,607.606,0
COSMOS 1606,15.17140289,15369,6892.625,94.915,PAYLOAD,LARGE,522.625,0
SL-14 R/B,14.8375992,15370,6995.618,97.051,ROCKET BODY,LARGE,625.618,0
IRIDIUM 33 DEB,14.76747397,46437,7017.747,97.512,DEBRIS,SMALL,647.747,0
FENGYUN 1C DEB,14.79197649,32227,7009.995,97.35,DEBRIS,SMALL,639.995,0
METEOR 2-5 DEB,15.029983,36891,6935.794,95.808,DEBRIS,SMALL,565.794,0
KSLV-1 R/B,14.87687442,39069,6983.3,96.795,ROCKET BODY,LARGE,613.3,0
FENGYUN 1C DEB,15.04989837,32238,6929.674,95.682,DEBRIS,SMALL,559.674,0
COSMOS 1626,15.24897585,15494,6869.23,94.433,PAYLOAD,LARGE,499.23,0
SL-14 R/B,14.83909326,15495,6995.148,97.041,ROCKET BODY,LARGE,625.148,0
ROCSAT 1,15.31927066,25616,6848.2,93.999,PAYLOAD,LARGE,478.2,0
CZ-4C R/B,15.39968344,32290,6824.34,93.508,ROCKET BODY,LARGE,454.34,0
CZ-4C DEB,15.0710937,42670,6923.175,95.547,DEBRIS,SMALL,553.175,0
YAOGAN 29 DEB,14.85135004,42673,6991.299,96.961,DEBRIS,SMALL,621.299,0
FENGYUN 1C DEB,14.8640907,32319,6987.304,96.878,DEBRIS,SMALL,617.304,0
PEGASUS R/B,14.91965783,25561,6969.944,96.517,ROCKET BODY,LARGE,599.944,0
DELTA 1 DEB,14.7475208,42659,7024.075,97.644,DEBRIS,SMALL,654.075,0
METEOR 2-5 DEB,14.87658585,36921,6983.39,96.796,DEBRIS,SMALL,613.39,0
COSMOS 1674,15.20380448,15944,6882.829,94.713,PAYLOAD,LARGE,512.829,0
FENGYUN 1C DEB,14.82442576,36697,6999.762,97.137,DEBRIS,SMALL,629.762,0
CZ-4B R/B,15.17776585,45858,6890.699,94.876,ROCKET BODY,LARGE,520.699,0
COSMOS 2251 DEB,14.99542898,36626,6946.445,96.029,DEBRIS,SMALL,576.445,0
