OBJECT_NAME,MEAN_MOTION,NORAD_CAT_ID,SEMIMAJOR_AXIS,PERIOD,OBJECT_TYPE,RCS_SIZE,AVG_ALTITUDE,Clusters
SL-16 DEB,14.0724653,22377,7246.946,102.327,DEBRIS,SMALL,876.946,0
FENGYUN 1C DEB,13.87718932,37012,7314.773,103.767,DEBRIS,SMALL,944.773,0
FENGYUN 1C DEB,14.20202299,37017,7202.806,101.394,DEBRIS,SMALL,832.806,0
FENGYUN 1C DEB,13.95189923,37018,7288.636,103.212,DEBRIS,SMALL,918.636,0
FENGYUN 1C DEB,14.18304091,46987,7209.231,101.53,DEBRIS,SMALL,839.231,0
COSMOS 1249 COOLANT *,13.89152598,29444,7309.739,103.66,DEBRIS,SMALL,939.739,0
FENGYUN 1C DEB,13.99239024,46992,7274.568,102.913,DEBRIS,SMALL,904.568,0
FENGYUN 1C DEB,14.06153333,37022,7250.702,102.407,DEBRIS,SMALL,880.702,0
METEOR 2-17 DEB,13.99303455,29302,7274.345,102.908,DEBRIS,SMALL,904.345,0
METEOR 2-17 DEB,13.93510321,29301,7294.492,103.336,DEBRIS,SMALL,924.492,0
METEOR 2-17 DEB,13.9461733,29300,7290.631,103.254,DEBRIS,SMALL,920.631,0
METEOR 2-17 DEB,13.95894338,29299,7286.184,103.16,DEBRIS,SMALL,916.184,0
FENGYUN 1C DEB,14.07297874,46996,7246.77,102.324,DEBRIS,SMALL,876.77,0
TRANSIT 15 DEB,14.13343246,29276,7226.091,101.886,DEBRIS,SMALL,856.091,0
FENGYUN 1C DEB,14.18728633,46997,7207.793,101.499,DEBRIS,SMALL,837.793,0
FENGYUN 1C DEB,14.08062842,46999,7244.145,102.268,DEBRIS,SMALL,874.145,0
FENGYUN 1C DEB,14.07855169,29750,7244.858,102.283,DEBRIS,SMALL,874.858,0
SCOUT G-1 DEB,13.94545092,29211,7290.883,103.259,DEBRIS,SMALL,920.883,0
FENGYUN 1C DEB,14.11996041,29754,7230.686,101.983,DEBRIS,SMALL,860.686,0
FENGYUN 1C DEB,14.1898716,29758,7206.917,101.481,DEBRIS,SMALL,836.917,0
FENGYUN 1C DEB,14.09460118,29780,7239.357,102.167,DEBRIS,SMALL,869.357,0
FENGYUN 1C DEB,14.11575314,29779,7232.123,102.014,DEBRIS,SMALL,862.123,0
FENGYUN 1C DEB,13.91394158,29777,7301.886,103.493,DEBRIS,SMALL,931.886,0
FENGYUN 1C DEB,14.06676939,29776,7248.903,102.369,DEBRIS,SMALL,878.903,0
IRIDIUM 33 DEB,14.15300852,46974,7219.426,101.745,DEBRIS,SMALL,849.426,0
IRIDIUM 33 DEB,14.08705195,46976,7241.943,102.222,DEBRIS,SMALL,871.943,0
FENGYUN 1C DEB,13.96823051,29772,7282.954,103.091,DEBRIS,SMALL,912.954,0
FENGYUN 1C DEB,14.09288299,29770,7239.945,102.179,DEBRIS,SMALL,869.945,0
FENGYUN 1C DEB,14.04129423,29769,7257.668,102.555,DEBRIS,SMALL,887.668,0
FENGYUN 1C DEB,13.88509046,29767,7311.997,103.708,DEBRIS,SMALL,941.997,0
FENGYUN 1C DEB,13.89865333,29766,7307.24,103.607,DEBRIS,SMALL,937.24,0
FENGYUN 1C DEB,14.01639311,29765,7266.261,102.737,DEBRIS,SMALL,896.261,0
FENGYUN 1C DEB,14.06212293,29763,7250.499,102.403,DEBRIS,SMALL,880.499,0
FENGYUN 1C DEB,14.19424122,29762,7205.438,101.45,DEBRIS,SMALL,835.438,0
FENGYUN 1C DEB,14.06768832,29760,7248.587,102.362,DEBRIS,SMALL,878.587,0
FENGYUN 1C DEB,14.02068032,37008,7264.78,102.705,DEBRIS,SMALL,894.78,0
SCOUT G-1 DEB,13.91884416,29208,7300.171,103.457,DEBRIS,SMALL,930.171,0
COSMOS 1412 COOLANT,13.87553319,29204,7315.355,103.78,DEBRIS,SMALL,945.355,0
FENGYUN 1C DEB,14.1033263,37028,7236.371,102.104,DEBRIS,SMALL,866.371,0
DMSP 5D-2 F11 DEB,14.11863487,29077,7231.139,101.993,DEBRIS,SMALL,861.139,0
DMSP 5D-2 F11 DEB,14.17181964,29071,7213.036,101.61,DEBRIS,SMALL,843.036,0
FENGYUN 1C DEB,14.12470641,47024,7229.067,101.949,DEBRIS,SMALL,859.067,0
FENGYUN 1C DEB,14.20182028,37049,7202.874,101.395,DEBRIS,SMALL,832.874,0
METEOR 2-17 DEB,13.97356251,29067,7281.101,103.052,DEBRIS,SMALL,911.101,0
FENGYUN 1C DEB,14.01081682,47026,7268.189,102.778,DEBRIS,SMALL,898.189,0
FENGYUN 1C DEB,14.16728502,37054,7214.575,101.643,DEBRIS,SMALL,844.575,0
FENGYUN 1C DEB,14.1368239,47027,7224.935,101.862,DEBRIS,SMALL,854.935,0
FENGYUN 1C DEB,13.93483396,37057,7294.586,103.338,DEBRIS,SMALL,924.586,0
FENGYUN 1C DEB,13.98125076,37060,7278.432,102.995,DEBRIS,SMALL,908.432,0
FENGYUN 1C DEB,13.93860613,47033,7293.27,103.31,DEBRIS,SMALL,923.27,0
COSMOS 1176 COOLANT,14.01995843,29019,7265.029,102.711,DEBRIS,SMALL,895.029,0
METEOR 2-17 DEB,13.96855442,28995,7282.842,103.089,DEBRIS,SMALL,912.842,0
METEOR 2-17 DEB,13.93701865,28994,7293.824,103.322,DEBRIS,SMALL,923.824,0
METEOR 2-17 DEB,13.92228894,28993,7298.967,103.431,DEBRIS,SMALL,928.967,0
FENGYUN 1C DEB,14.2083688,47018,7200.661,101.349,DEBRIS,SMALL,830.661,0
FENGYUN 1C DEB,14.06028462,47016,7251.131,102.416,DEBRIS,SMALL,881.131,0
FENGYUN 1C DEB,14.09282208,47014,7239.966,102.18,DEBRIS,SMALL,869.966,0
FENGYUN 1C DEB,14.10199665,47013,7236.826,102.113,DEBRIS,SMALL,866.826,0
COSMOS 860 COOLANT,13.86285849,29196,7319.813,103.875,DEBRIS,SMALL,949.813,0
COSMOS 860 COOLANT,13.86198884,29195,7320.119,103.881,DEBRIS,SMALL,950.119,0
COSMOS 860 COOLANT,13.96692525,29194,7283.408,103.101,DEBRIS,SMALL,913.408,0
FENGYUN 1C DEB,14.1387743,37035,7224.271,101.848,DEBRIS,SMALL,854.271,0
FENGYUN 1C DEB,14.01386425,37036,7267.135,102.755,DEBRIS,SMALL,897.135,0
FENGYUN 1C DEB,14.01011594,40999,7268.431,102.783,DEBRIS,SMALL,898.431,0
FENGYUN 1C DEB,14.18516584,37046,7208.511,101.514,DEBRIS,SMALL,838.511,0
FENGYUN 1C DEB,14.01004622,29781,7268.455,102.783,DEBRIS,SMALL,898.455,0
TRANSIT 15 DEB,14.19425662,29180,7205.433,101.449,DEBRIS,SMALL,835.433,0
FENGYUN 1C DEB,13.97730714,47005,7279.801,103.024,DEBRIS,SMALL,909.801,0
FENGYUN 1C DEB,13.95681793,47006,7286.924,103.175,DEBRIS,SMALL,916.924,0
TRANSIT 14 DEB,14.11493331,29138,7232.403,102.02,DEBRIS,SMALL,862.403,0
SL-16 DEB,14.0816194,29100,7243.805,102.261,DEBRIS,SMALL,873.805,0
SL-16 DEB,14.12050531,29098,7230.5,101.979,DEBRIS,SMALL,860.5,0
SL-16 DEB,13.93828849,29097,7293.381,103.313,DEBRIS,SMALL,923.381,0
FENGYUN 1C DEB,14.12315372,47011,7229.596,101.96,DEBRIS,SMALL,859.596,0
FENGYUN 1C DEB,14.0647796,47004,7249.586,102.383,DEBRIS,SMALL,879.586,0
FENGYUN 1C DEB,14.03318506,29782,7260.463,102.614,DEBRIS,SMALL,890.463,0
IRIDIUM 33 DEB,14.18210113,46973,7209.549,101.536,DEBRIS,SMALL,839.549,0
FENGYUN 1C DEB,14.07860881,29786,7244.838,102.283,DEBRIS,SMALL,874.838,0
FENGYUN 1C DEB,13.97478844,29922,7280.676,103.043,DEBRIS,SMALL,910.676,0
FENGYUN 1C DEB,14.04260523,29921,7257.216,102.545,DEBRIS,SMALL,887.216,0
FENGYUN 1C DEB,13.97168375,29920,7281.754,103.066,DEBRIS,SMALL,911.754,0
FENGYUN 1C DEB,14.20727088,29918,7201.032,101.357,DEBRIS,SMALL,831.032,0
FENGYUN 1C DEB,14.02235628,29914,7264.201,102.693,DEBRIS,SMALL,894.201,0
FENGYUN 1C DEB,14.05243772,29913,7253.83,102.473,DEBRIS,SMALL,883.83,0
FENGYUN 1C DEB,14.13342705,29911,7226.093,101.886,DEBRIS,SMALL,856.093,0
FENGYUN 1C DEB,14.02490182,29907,7263.322,102.675,DEBRIS,SMALL,893.322,0
FENGYUN 1C DEB,13.88715776,29895,7311.272,103.693,DEBRIS,SMALL,941.272,0
FENGYUN 1C DEB,14.04519095,29892,7256.325,102.526,DEBRIS,SMALL,886.325,0
FENGYUN 1C DEB,13.98152081,29891,7278.338,102.993,DEBRIS,SMALL,908.338,0
FENGYUN 1C DEB,14.14778144,29890,7221.204,101.783,DEBRIS,SMALL,851.204,0
FENGYUN 1C DEB,14.10656556,29889,7235.263,102.08,DEBRIS,SMALL,865.263,0
FENGYUN 1C DEB,14.13515811,29888,7225.503,101.874,DEBRIS,SMALL,855.503,0
FENGYUN 1C DEB,14.12181,29885,7230.055,101.97,DEBRIS,SMALL,860.055,0
