OBJECT_NAME,MEAN_MOTION,NORAD_CAT_ID,SEMIMAJOR_AXIS,PERIOD,OBJECT_TYPE,RCS_SIZE,AVG_ALTITUDE,Clusters
COSMOS 2251 DEB,14.66340508,33763,7050.912,98.204,DEBRIS,SMALL,680.912,0
CZ-4 DEB,14.62306501,36304,7063.873,98.475,DEBRIS,SMALL,693.873,0
FENGYUN 1C DEB,14.63565599,30826,7059.821,98.39,DEBRIS,SMALL,689.821,0
SL-8 DEB *,14.62008943,13029,7064.832,98.495,DEBRIS,SMALL,694.832,0
SL-8 DEB,14.83902037,13030,6995.171,97.041,DEBRIS,SMALL,625.171,0
FENGYUN 1C DEB,14.86982879,30813,6985.506,96.84,DEBRIS,SMALL,615.506,0
FENGYUN 1C DEB,14.73691255,30800,7027.446,97.714,DEBRIS,SMALL,657.446,0
SL-3 R/B,14.99386583,13154,6946.927,96.039,ROCKET BODY,LARGE,576.927,0
FENGYUN 1C DEB,14.81531856,30764,7002.63,97.197,DEBRIS,SMALL,632.63,0
SL-14 R/B,14.8486369,13272,6992.151,96.979,ROCKET BODY,LARGE,622.151,0
COSMOS 1275 DEB,14.72057499,13479,7032.644,97.822,DEBRIS,SMALL,662.644,0
FENGYUN 1C DEB,14.76018564,30733,7020.057,97.56,DEBRIS,SMALL,650.057,0
COSMOS 1275 DEB,14.74957317,13482,7023.424,97.63,DEBRIS,SMALL,653.424,0
SL-8 DEB *,14.59156706,13498,7074.035,98.687,DEBRIS,SMALL,704.035,0
SL-8 DEB *,14.65491107,13500,7053.636,98.261,DEBRIS,SMALL,683.636,0
COSMOS 1484 DEB,14.94918588,44997,6960.762,96.326,DEBRIS,SMALL,590.762,0
FIREBIRD A,15.01419766,39463,6940.654,95.909,PAYLOAD,MEDIUM,570.654,0
COSMOS 2251 DEB,14.74267006,44983,7025.616,97.676,DEBRIS,SMALL,655.616,0
SL-14 R/B,14.84927563,12988,6991.95,96.974,ROCKET BODY,LARGE,621.95,0
FENGYUN 1C DEB,14.69613448,30844,7040.439,97.985,DEBRIS,SMALL,670.439,0
FENGYUN 1C DEB,14.81372823,30966,7003.131,97.207,DEBRIS,SMALL,633.131,0
FENGYUN 1C DEB,14.86470668,30957,6987.111,96.874,DEBRIS,SMALL,617.111,0
FENGYUN 1C DEB,14.59397581,30951,7073.257,98.671,DEBRIS,SMALL,703.257,0
FENGYUN 1C DEB,14.73414884,36237,7028.325,97.732,DEBRIS,SMALL,658.325,0
FENGYUN 1C DEB,14.89323479,36243,6978.185,96.688,DEBRIS,SMALL,608.185,0
FENGYUN 1C DEB,14.7400825,30926,7026.438,97.693,DEBRIS,SMALL,656.438,0
FENGYUN 1C DEB,14.63350259,36258,7060.514,98.404,DEBRIS,SMALL,690.514,0
COSMOS 1275 DEB,14.59474053,12755,7073.01,98.666,DEBRIS,SMALL,703.01,0
COSMOS 1275 DEB,14.78399961,12779,7012.516,97.403,DEBRIS,SMALL,642.516,0
FENGYUN 1C DEB,14.62276718,30888,7063.969,98.477,DEBRIS,SMALL,693.969,0
SL-14 R/B,14.84933436,12786,6991.932,96.974,ROCKET BODY,LARGE,621.932,0
SL-8 DEB,14.62625985,12793,7062.845,98.453,DEBRIS,SMALL,692.845,0
SL-3 R/B,15.06609099,12904,6924.708,95.579,ROCKET BODY,LARGE,554.708,0
FENGYUN 1C DEB,14.64405941,36283,7057.12,98.333,DEBRIS,SMALL,687.12,0
CZ-4B DEB,14.9570635,36289,6958.318,96.276,DEBRIS,SMALL,588.318,0
CZ-4B DEB,14.9920826,36290,6947.478,96.051,DEBRIS,SMALL,577.478,0
FENGYUN 1C DEB,14.68103869,30974,7045.265,98.086,DEBRIS,SMALL,675.265,0
OBJECT N,14.87509814,44891,6983.856,96.806,UNKNOWN,SMALL,613.856,0
OBJECT L,14.8142497,44889,7002.967,97.204,UNKNOWN,MEDIUM,632.967,0
CZ-2D DEB,14.98316695,44604,6950.234,96.108,DEBRIS,SMALL,580.234,0
CZ-2D DEB,14.87916051,44601,6982.585,96.78,DEBRIS,SMALL,612.585,0
CZ-4C DEB,14.95046973,44599,6960.364,96.318,DEBRIS,SMALL,590.364,0
COSMOS 2251 DEB,14.66101214,36375,7051.679,98.22,DEBRIS,SMALL,681.679,0
COSMOS 2251 DEB,14.91012487,36378,6972.914,96.579,DEBRIS,SMALL,602.914,0
COSMOS 2251 DEB,14.81829848,36422,7001.691,97.177,DEBRIS,SMALL,631.691,0
CZ-4B DEB,14.98227541,44593,6950.51,96.114,DEBRIS,SMALL,580.51,0
CZ-4B DEB,14.72624859,44589,7030.838,97.785,DEBRIS,SMALL,660.838,0
COSMOS 2251 DEB,14.83227632,36441,6997.292,97.086,DEBRIS,SMALL,627.292,0
SPOT 4 DEB,14.69222955,44586,7041.687,98.011,DEBRIS,SMALL,671.687,0
RESURS O1 DEB,15.07357131,44579,6922.417,95.531,DEBRIS,SMALL,552.417,0
RESURS O1 DEB,14.93176078,44578,6966.177,96.439,DEBRIS,SMALL,596.177,0
DELTA 1 DEB,14.60072117,13826,7071.078,98.625,DEBRIS,SMALL,701.078,0
DELTA 1 DEB,14.98917885,44568,6948.375,96.069,DEBRIS,SMALL,578.375,0
CZ-4B R/B,14.92368268,44531,6968.69,96.491,ROCKET BODY,LARGE,598.69,0
FENGYUN 1C DEB,14.62159794,30694,7064.346,98.484,DEBRIS,SMALL,694.346,0
OBJECT M,14.86860648,44890,6985.889,96.848,UNKNOWN,SMALL,615.889,0
CZ-2D DEB,14.81586313,44609,7002.458,97.193,DEBRIS,SMALL,632.458,0
CZ-2D DEB,14.75968837,44611,7020.215,97.563,DEBRIS,SMALL,650.215,0
KZ-1A R/B,14.65691771,44787,7052.992,98.247,ROCKET BODY,LARGE,682.992,0
COSMOS 2535 DEB,14.77271892,44712,7016.086,97.477,DEBRIS,SMALL,646.086,0
SL-14 R/B,14.84386576,13553,6993.649,97.01,ROCKET BODY,LARGE,623.649,0
