OBJECT_NAME,MEAN_MOTION,NORAD_CAT_ID,SEMIMAJOR_AXIS,PERIOD,OBJECT_TYPE,RCS_SIZE,AVG_ALTITUDE,Clusters
METEOR 2-11 DEB,13.90007735,42454,7306.741,103.597,DEBRIS,SMALL,936.741,0
FENGYUN 1C DEB,13.88467094,31568,7312.145,103.711,DEBRIS,SMALL,942.145,0
FENGYUN 1C DEB,13.76078073,31567,7355.967,104.645,DEBRIS,SMALL,985.967,0
SL-14 DEB,13.45672486,45339,7466.36,107.01,DEBRIS,SMALL,1096.36,0
SL-14 DEB,13.47514911,45338,7459.553,106.863,DEBRIS,SMALL,1089.553,0
COSMOS 1513,13.74236546,14546,7362.537,104.785,PAYLOAD,LARGE,992.537,0
SL-8 R/B,13.77144194,14547,7352.17,104.564,ROCKET BODY,LARGE,982.17,0
COSMOS 1275 DEB,13.65928824,14556,7392.36,105.423,DEBRIS,SMALL,1022.36,0
FENGYUN 1C DEB,13.60816178,37400,7410.864,105.819,DEBRIS,SMALL,1040.864,0
SL-14 DEB,13.6377552,45325,7400.14,105.589,DEBRIS,SMALL,1030.14,0
N-1 DEB,13.55700168,14569,7429.497,106.218,DEBRIS,SMALL,1059.497,0
FENGYUN 1C DEB,13.80985741,31569,7338.53,104.273,DEBRIS,SMALL,968.53,0
COSMOS 1531,13.72198377,14624,7369.826,104.941,PAYLOAD,LARGE,999.826,0
SL-14 DEB,13.67204539,45322,7387.761,105.324,DEBRIS,SMALL,1017.761,0
COSMOS 1535,13.7516719,14679,7359.215,104.715,PAYLOAD,LARGE,989.215,0
SL-8 R/B,13.76508223,14680,7354.435,104.613,ROCKET BODY,LARGE,984.435,0
FENGYUN 1C DEB,13.50545272,37415,7448.39,106.624,DEBRIS,SMALL,1078.39,0
FENGYUN 1C DEB,13.78868358,31537,7346.04,104.433,DEBRIS,SMALL,976.04,0
JD 1,13.52738799,14728,7440.336,106.451,PAYLOAD,LARGE,1070.336,0
JD 2,13.53075388,14729,7439.102,106.424,PAYLOAD,LARGE,1069.102,0
COSMOS 1275 DEB,13.80104231,14740,7341.654,104.34,DEBRIS,SMALL,971.654,0
COSMOS 1275 DEB,13.52112666,14741,7442.633,106.5,DEBRIS,SMALL,1072.633,0
FENGYUN 1C DEB,13.68897102,37419,7381.67,105.194,DEBRIS,SMALL,1011.67,0
SL-8 R/B,13.74397792,14625,7361.962,104.773,ROCKET BODY,LARGE,991.962,0
FENGYUN 1C DEB,13.81926448,37425,7335.199,104.202,DEBRIS,SMALL,965.199,0
DELTA 1 DEB,13.79821363,14493,7342.657,104.361,DEBRIS,SMALL,972.657,0
DELTA 1 DEB,13.43024188,14480,7476.172,107.221,DEBRIS,SMALL,1106.172,0
FENGYUN 1C DEB,13.80647908,31623,7339.727,104.299,DEBRIS,SMALL,969.727,0
COSMOS 1275 DEB,13.79484978,14405,7343.851,104.387,DEBRIS,SMALL,973.851,0
SL-8 DEB,13.78114645,45514,7348.718,104.491,DEBRIS,SMALL,978.718,0
COSMOS 894 DEB,13.76118769,45506,7355.822,104.642,DEBRIS,SMALL,985.822,0
COSMOS 1275 DEB,13.68930865,14408,7381.549,105.192,DEBRIS,SMALL,1011.549,0
COSMOS 1275 DEB,13.67051638,14409,7388.312,105.336,DEBRIS,SMALL,1018.312,0
COSMOS 249 DEB,13.72277925,14410,7369.541,104.935,DEBRIS,SMALL,999.541,0
COSMOS 663 DEB,13.76922253,45505,7352.96,104.581,DEBRIS,SMALL,982.96,0
COSMOS 1275 DEB,13.61782162,14440,7407.359,105.744,DEBRIS,SMALL,1037.359,0
COSMOS 627 DEB,13.7344117,45504,7365.38,104.846,DEBRIS,SMALL,995.38,0
COSMOS 1508,13.89969354,14483,7306.875,103.599,PAYLOAD,LARGE,936.875,0
COSMOS 970 DEB,13.76428917,14442,7354.717,104.619,DEBRIS,SMALL,984.717,0
COSMOS 397 DEB *,13.62438326,14446,7404.981,105.693,DEBRIS,SMALL,1034.981,0
COSMOS 1506,13.76286855,14450,7355.223,104.629,PAYLOAD,LARGE,985.223,0
SL-8 R/B,13.78064797,14451,7348.896,104.494,ROCKET BODY,LARGE,978.896,0
CZ-4C DEB,13.42813919,45484,7476.952,107.237,DEBRIS,SMALL,1106.952,0
CZ-4C DEB,13.43894013,45483,7472.946,107.151,DEBRIS,SMALL,1102.946,0
DELTA 1 DEB,13.572544,14460,7423.824,106.097,DEBRIS,SMALL,1053.824,0
FENGYUN 1C DEB,13.56427299,31613,7426.842,106.161,DEBRIS,SMALL,1056.842,0
THORAD AGENA D DEB,13.62865853,14467,7403.432,105.66,DEBRIS,SMALL,1033.432,0
NIMBUS 2 DEB,13.42679702,31579,7477.451,107.248,DEBRIS,SMALL,1107.451,0
SL-14 DEB,13.53412999,45347,7437.865,106.398,DEBRIS,SMALL,1067.865,0
COSMOS 970 DEB,13.72897468,14444,7367.324,104.888,DEBRIS,SMALL,997.324,0
COSMOS 1579 DEB,13.87383455,45516,7315.952,103.793,DEBRIS,SMALL,945.952,0
JD 3,13.5542801,14795,7430.491,106.24,PAYLOAD,LARGE,1060.491,0
FENGYUN 1C DEB,13.77066264,37448,7352.448,104.57,DEBRIS,SMALL,982.448,0
SL-14 DEB,13.48144139,45301,7457.231,106.814,DEBRIS,MEDIUM,1087.231,0
SL-14 DEB,13.49399844,45298,7452.604,106.714,DEBRIS,MEDIUM,1082.604,0
COSMOS 1605,13.75203208,15359,7359.087,104.712,PAYLOAD,LARGE,989.087,0
SL-8 R/B,13.76782518,15360,7353.458,104.592,ROCKET BODY,LARGE,983.458,0
COSMOS 1607,13.83574277,15378,7329.374,104.078,PAYLOAD,LARGE,959.374,0
COSMOS 1610,13.73742729,15398,7364.302,104.823,PAYLOAD,LARGE,994.302,0
SL-8 R/B,13.76139114,15399,7355.75,104.641,ROCKET BODY,LARGE,985.75,0
SL-14 DEB,13.58053074,45296,7420.913,106.034,DEBRIS,SMALL,1050.913,0
COSMOS 1607 FUEL CORE,13.87497621,15503,7315.55,103.784,PAYLOAD,MEDIUM,945.55,0
COSMOS 1627,13.74378842,15505,7362.029,104.775,PAYLOAD,LARGE,992.029,0
FENGYUN 1C DEB,13.88035408,31467,7313.661,103.744,DEBRIS,SMALL,943.661,0
SL-8 R/B,13.76233358,15506,7355.414,104.633,ROCKET BODY,LARGE,985.414,0
SL-14 R/B,13.84899786,15517,7324.696,103.979,ROCKET BODY,LARGE,954.696,0
SL-14 DEB,13.61191074,45293,7409.504,105.79,DEBRIS,SMALL,1039.504,0
COSMOS 1275 DEB,13.85295911,15541,7323.3,103.949,DEBRIS,SMALL,953.3,0
COSMOS 1275 DEB,13.77846606,15542,7349.671,104.511,DEBRIS,SMALL,979.671,0
COSMOS 970 DEB,13.64495435,15559,7397.536,105.534,DEBRIS,SMALL,1027.536,0
COSMOS 1634,13.75105647,15597,7359.435,104.719,PAYLOAD,LARGE,989.435,0
SL-8 R/B,13.76588054,15598,7354.15,104.606,ROCKET BODY,LARGE,984.15,0
FENGYUN 1C DEB,13.7998503,31426,7342.077,104.349,DEBRIS,SMALL,972.077,0
COSMOS 1655,13.71723736,15751,7371.526,104.977,PAYLOAD,LARGE,1001.526,0
SL-8 R/B,13.73133598,15752,7366.479,104.87,ROCKET BODY,LARGE,996.479,0
METEOR 2-12,13.8565146,15516,7322.047,103.922,PAYLOAD,LARGE,952.047,0
FENGYUN 1C DEB,13.84744737,37433,7325.243,103.99,DEBRIS,SMALL,955.243,0
COSMOS 1579 FUEL CORE,13.89865153,15330,7307.24,103.607,PAYLOAD,MEDIUM,937.24,0
COSMOS 1598,13.72998167,15292,7366.964,104.88,PAYLOAD,LARGE,996.964,0
FENGYUN 1C DEB,13.52351799,37453,7441.755,106.481,DEBRIS,SMALL,1071.755,0
FENGYUN 1C DEB,13.85809034,31509,7321.492,103.91,DEBRIS,SMALL,951.492,0
FENGYUN 1C DEB,13.78249635,31499,7348.239,104.48,DEBRIS,SMALL,978.239,0
FENGYUN 1C DEB,13.69458584,31498,7379.652,105.151,DEBRIS,SMALL,1009.652,0
FENGYUN 1C DEB,13.88375336,31493,7312.467,103.718,DEBRIS,SMALL,942.467,0
COSMOS 970 DEB,13.71214953,14906,7373.349,105.016,DEBRIS,SMALL,1003.349,0
COSMOS 970 DEB,13.54029907,14907,7435.605,106.349,DEBRIS,SMALL,1065.605,0
FENGYUN 1C DEB,13.89723409,31487,7307.737,103.618,DEBRIS,SMALL,937.737,0
FENGYUN 1C DEB,13.67521702,31480,7386.619,105.3,DEBRIS,SMALL,1016.619,0
COSMOS 1550,13.72816787,14965,7367.613,104.894,PAYLOAD,LARGE,997.613,0
SL-8 R/B,13.75131841,15293,7359.341,104.717,ROCKET BODY,LARGE,989.341,0
SL-8 R/B,13.74579505,14966,7361.313,104.759,ROCKET BODY,LARGE,991.313,0
SL-8 R/B,13.76941501,14974,7352.892,104.58,ROCKET BODY,LARGE,982.892,0
SL-14 DEB,13.58108313,45303,7420.712,106.03,DEBRIS,SMALL,1050.712,0
COSMOS 2251 DEB,13.69285356,37491,7380.275,105.164,DEBRIS,SMALL,1010.275,0
COSMOS 1574,13.74337832,15055,7362.176,104.778,PAYLOAD,LARGE,992.176,0
SL-8 R/B,13.76345354,15056,7355.015,104.625,ROCKET BODY,LARGE,985.015,0
COSMOS 1577,13.75449132,15077,7358.21,104.693,PAYLOAD,LARGE,988.21,0
SL-8 R/B,13.77236531,15078,7351.842,104.557,ROCKET BODY,LARGE,981.842,0
COSMOS 1579,13.86071093,15085,7320.569,103.891,PAYLOAD,LARGE,950.569,0
METEOR 2-11,13.85080694,15099,7324.058,103.965,PAYLOAD,LARGE,954.058,0
SL-14 R/B,13.8445105,15100,7326.279,104.012,ROCKET BODY,LARGE,956.279,0
COSMOS 1553,13.75370073,14973,7358.492,104.699,PAYLOAD,LARGE,988.492,0
SCOUT A-1 DEB,13.64467706,15764,7397.637,105.536,DEBRIS,SMALL,1027.637,0
FENGYUN 1C DEB,13.76561395,31628,7354.245,104.608,DEBRIS,SMALL,984.245,0
FENGYUN 1C DEB,13.84325086,31639,7326.723,104.022,DEBRIS,SMALL,956.723,0
COSMOS 1275 DEB,13.45602222,13488,7466.62,107.015,DEBRIS,SMALL,1096.62,0
COSMOS 1275 DEB,13.76183923,13490,7355.59,104.637,DEBRIS,SMALL,985.59,0
COSMOS 926 DEB,13.73780747,13491,7364.166,104.82,DEBRIS,SMALL,994.166,0
KIKU 4 (ETS 3),13.71018863,13492,7374.052,105.031,PAYLOAD,LARGE,1004.052,0
N-1 R/B,13.44560135,13493,7470.477,107.098,ROCKET BODY,LARGE,1100.477,0
FENGYUN 1C DEB,13.86652278,31781,7318.523,103.847,DEBRIS,SMALL,948.523,0
THOR ABLESTAR DEB *,13.59217308,13502,7416.675,105.943,DEBRIS,SMALL,1046.675,0
COSMOS 970 DEB,13.51367979,13503,7445.367,106.559,DEBRIS,SMALL,1075.367,0
