OBJECT_NAME,MEAN_MOTION,NORAD_CAT_ID,SEMIMAJOR_AXIS,PERIOD,OBJECT_TYPE,RCS_SIZE,AVG_ALTITUDE,Clusters
FENGYUN 1C DEB,13.99425003,31074,7273.924,102.899,DEBRIS,SMALL,903.924,0
FENGYUN 1C DEB,14.21197043,31279,7199.444,101.323,DEBRIS,SMALL,829.444,0
FENGYUN 1C DEB,13.96916451,31275,7282.63,103.084,DEBRIS,SMALL,912.63,0
FENGYUN 1C DEB,14.17792973,31272,7210.963,101.566,DEBRIS,SMALL,840.963,0
FENGYUN 1C DEB,14.16365968,31269,7215.806,101.669,DEBRIS,SMALL,845.806,0
FENGYUN 1C DEB,14.01846972,31268,7265.543,102.722,DEBRIS,SMALL,895.543,0
FENGYUN 1C DEB,14.19045742,31266,7206.719,101.477,DEBRIS,SMALL,836.719,0
FENGYUN 1C DEB,14.1448236,31264,7222.211,101.804,DEBRIS,SMALL,852.211,0
COSMOS 1275 DEB,13.95993352,13017,7285.84,103.152,DEBRIS,SMALL,915.84,0
COSMOS 1275 DEB,13.90317116,13018,7305.657,103.573,DEBRIS,SMALL,935.657,0
COSMOS 1275 DEB,13.93675396,13019,7293.916,103.324,DEBRIS,SMALL,923.916,0
FENGYUN 1C DEB,14.06036869,31262,7251.102,102.416,DEBRIS,SMALL,881.102,0
COSMOS 1275 DEB,13.99623682,13021,7273.236,102.885,DEBRIS,SMALL,903.236,0
COSMOS 1275 DEB,14.14568287,13022,7221.918,101.798,DEBRIS,SMALL,851.918,0
COSMOS 1275 DEB,14.00180734,13024,7271.306,102.844,DEBRIS,SMALL,901.306,0
FENGYUN 1C DEB,14.27044031,31260,7179.765,100.908,DEBRIS,SMALL,809.765,0
FENGYUN 1C DEB,14.03905198,31259,7258.44,102.571,DEBRIS,SMALL,888.44,0
FENGYUN 1C DEB,14.27146326,31258,7179.422,100.901,DEBRIS,SMALL,809.422,0
FENGYUN 1C DEB,14.02449887,31257,7263.461,102.677,DEBRIS,SMALL,893.461,0
FENGYUN 1C DEB,14.05466717,31255,7253.063,102.457,DEBRIS,SMALL,883.063,0
FENGYUN 1C DEB,14.00816779,31253,7269.105,102.797,DEBRIS,SMALL,899.105,0
FENGYUN 1C DEB,13.96508832,31250,7284.047,103.114,DEBRIS,SMALL,914.047,0
FENGYUN 1C DEB,13.89793344,31248,7307.492,103.613,DEBRIS,SMALL,937.492,0
FENGYUN 1C DEB,14.00897599,31247,7268.826,102.791,DEBRIS,SMALL,898.826,0
FENGYUN 1C DEB,13.94680755,31246,7290.41,103.249,DEBRIS,SMALL,920.41,0
FENGYUN 1C DEB,14.03558863,31244,7259.634,102.596,DEBRIS,SMALL,889.634,0
FENGYUN 1C DEB,13.93745812,31284,7293.67,103.319,DEBRIS,SMALL,923.67,0
FENGYUN 1C DEB,14.22798524,31285,7194.041,101.209,DEBRIS,SMALL,824.041,0
FENGYUN 1C DEB,14.02684611,31286,7262.651,102.66,DEBRIS,SMALL,892.651,0
FENGYUN 1C DEB,14.13702355,31287,7224.867,101.86,DEBRIS,SMALL,854.867,0
FENGYUN 1C DEB,14.24928906,31330,7186.869,101.058,DEBRIS,SMALL,816.869,0
FENGYUN 1C DEB,14.27837978,31328,7177.104,100.852,DEBRIS,SMALL,807.104,0
FENGYUN 1C DEB,14.23372346,31326,7192.107,101.168,DEBRIS,SMALL,822.107,0
FENGYUN 1C DEB,14.03795969,31325,7258.817,102.579,DEBRIS,SMALL,888.817,0
FENGYUN 1C DEB,14.13454482,31324,7225.712,101.878,DEBRIS,SMALL,855.712,0
FENGYUN 1C DEB,14.12823457,31323,7227.863,101.924,DEBRIS,SMALL,857.863,0
FENGYUN 1C DEB,14.12578116,31321,7228.7,101.941,DEBRIS,SMALL,858.7,0
FENGYUN 1C DEB,14.02975759,31320,7261.646,102.639,DEBRIS,SMALL,891.646,0
FENGYUN 1C DEB,14.10489031,31316,7235.836,102.092,DEBRIS,SMALL,865.836,0
FENGYUN 1C DEB,14.02962051,31314,7261.693,102.64,DEBRIS,SMALL,891.693,0
FENGYUN 1C DEB,14.19607076,31313,7204.819,101.437,DEBRIS,SMALL,834.819,0
FENGYUN 1C DEB,13.98449016,31312,7277.308,102.971,DEBRIS,SMALL,907.308,0
FENGYUN 1C DEB,14.02131609,31243,7264.56,102.701,DEBRIS,SMALL,894.56,0
COSMOS 1275 DEB,13.92935621,12949,7296.498,103.379,DEBRIS,SMALL,926.498,0
COSMOS 1275 DEB,13.95222225,12952,7288.524,103.209,DEBRIS,SMALL,918.524,0
COSMOS 1275 DEB,13.96874338,12962,7282.776,103.087,DEBRIS,SMALL,912.776,0
FENGYUN 1C DEB,14.15555005,31311,7218.562,101.727,DEBRIS,SMALL,848.562,0
FENGYUN 1C DEB,14.07911344,31310,7244.665,102.279,DEBRIS,SMALL,874.665,0
COSMOS 1275 DEB,14.02954439,12966,7261.719,102.641,DEBRIS,SMALL,891.719,0
FENGYUN 1C DEB,14.10139336,31303,7237.032,102.118,DEBRIS,SMALL,867.032,0
FENGYUN 1C DEB,14.13509337,31302,7225.525,101.874,DEBRIS,SMALL,855.525,0
FENGYUN 1C DEB,14.05831654,31300,7251.808,102.43,DEBRIS,SMALL,881.808,0
FENGYUN 1C DEB,14.24710138,31296,7187.604,101.073,DEBRIS,SMALL,817.604,0
FENGYUN 1C DEB,13.96127152,31295,7285.374,103.142,DEBRIS,SMALL,915.374,0
FENGYUN 1C DEB,14.11848394,31294,7231.19,101.994,DEBRIS,SMALL,861.19,0
FENGYUN 1C DEB,14.24757196,31292,7187.446,101.07,DEBRIS,SMALL,817.446,0
COSMOS 1275 DEB,14.12607348,12950,7228.6,101.939,DEBRIS,SMALL,858.6,0
FENGYUN 1C DEB,13.99858739,31331,7272.421,102.868,DEBRIS,SMALL,902.421,0
FENGYUN 1C DEB,14.05257695,31240,7253.782,102.472,DEBRIS,SMALL,883.782,0
FENGYUN 1C DEB,14.25700204,31237,7184.276,101.003,DEBRIS,SMALL,814.276,0
FENGYUN 1C DEB,14.01955832,31185,7265.167,102.714,DEBRIS,SMALL,895.167,0
FENGYUN 1C DEB,14.11614476,31182,7231.989,102.011,DEBRIS,SMALL,861.989,0
FENGYUN 1C DEB,14.05129445,31181,7254.224,102.482,DEBRIS,SMALL,884.224,0
FENGYUN 1C DEB,14.05072277,31178,7254.421,102.486,DEBRIS,SMALL,884.421,0
FENGYUN 1C DEB,14.13731571,31175,7224.767,101.858,DEBRIS,SMALL,854.767,0
FENGYUN 1C DEB,14.0237471,31173,7263.721,102.683,DEBRIS,SMALL,893.721,0
FENGYUN 1C DEB,14.05905865,31171,7251.553,102.425,DEBRIS,SMALL,881.553,0
FENGYUN 1C DEB,14.0764346,31169,7245.584,102.299,DEBRIS,SMALL,875.584,0
FENGYUN 1C DEB,14.26122159,31163,7182.859,100.973,DEBRIS,SMALL,812.859,0
FENGYUN 1C DEB,14.06895931,31161,7248.15,102.353,DEBRIS,SMALL,878.15,0
FENGYUN 1C DEB,13.98866635,31160,7275.859,102.94,DEBRIS,SMALL,905.859,0
FENGYUN 1C DEB,14.18251936,31158,7209.408,101.533,DEBRIS,SMALL,839.408,0
FENGYUN 1C DEB,14.19877088,31157,7203.906,101.417,DEBRIS,SMALL,833.906,0
FENGYUN 1C DEB,13.99866729,31155,7272.394,102.867,DEBRIS,SMALL,902.394,0
FENGYUN 1C DEB,14.06649343,31151,7248.997,102.371,DEBRIS,SMALL,878.997,0
FENGYUN 1C DEB,14.11499436,31150,7232.382,102.019,DEBRIS,SMALL,862.382,0
COSMOS 1372 FUEL CORE,13.89908697,13416,7307.088,103.604,PAYLOAD,MEDIUM,937.088,0
FENGYUN 1C DEB,14.21219719,31146,7199.368,101.321,DEBRIS,SMALL,829.368,0
COSMOS 1275 DEB,13.98157637,13458,7278.319,102.993,DEBRIS,MEDIUM,908.319,0
SL-24 R/B,14.12625717,31123,7228.537,101.938,ROCKET BODY,LARGE,858.537,0
CZ-2C R/B,14.19372425,31114,7205.613,101.453,ROCKET BODY,LARGE,835.613,0
COSMOS 1275 DEB,14.19265246,13464,7205.976,101.461,DEBRIS,SMALL,835.976,0
FENGYUN 1C DEB,14.25164993,31099,7186.075,101.041,DEBRIS,SMALL,816.075,0
FENGYUN 1C DEB,14.22487753,31098,7195.089,101.231,DEBRIS,SMALL,825.089,0
FENGYUN 1C DEB,14.20525842,31097,7201.712,101.371,DEBRIS,SMALL,831.712,0
FENGYUN 1C DEB,14.09833133,31186,7238.08,102.14,DEBRIS,SMALL,868.08,0
FENGYUN 1C DEB,14.07616436,31187,7245.677,102.301,DEBRIS,SMALL,875.677,0
FENGYUN 1C DEB,14.12090245,31188,7230.365,101.976,DEBRIS,SMALL,860.365,0
FENGYUN 1C DEB,13.99300937,31190,7274.354,102.909,DEBRIS,SMALL,904.354,0
FENGYUN 1C DEB,14.05930358,31234,7251.469,102.423,DEBRIS,SMALL,881.469,0
