CCSDS_OMM_VERS,COMMENT,CREATION_DATE,ORIGINATOR,OBJECT_NAME,OBJECT_ID,CENTER_NAME,REF_FRAME,TIME_SYSTEM,MEAN_ELEMENT_THEORY,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT,SEMIMAJOR_AXIS,PERIOD,APOAPSIS,PERIAPSIS,OBJECT_TYPE,RCS_SIZE,COUNTRY_CODE,LAUNCH_DATE,SITE,DECAY_DATE,FILE,GP_ID,TLE_LINE0,TLE_LINE1,TLE_LINE2,,,,,,,MASS_kg,AVG_ALTITUDE,,AVG_VELOCITY
2,GENERATED VIA SPACE-TRACK.ORG API,2022-06-01T06:14:15,18 SPCS,SL-16 R/B,1993-016B,EARTH,TEME,UTC,SGP4,2022-05-31T15:01:29.738496,14.14999893,0.0012537,71.0072,228.7089,261.8399,98.1301,0,U,22566,999,50721,-1.12E-05,-6.90E-07,0,7220.45,101.767,851.367,833.262,ROCKET BODY,LARGE,CIS,3/26/1993,TTMTR,,3474670,205047710,0 SL-16 R/B,1 22566U 93016B   22151.62603864 -.00000069  00000-0 -11188-4 0  9996,2 22566  71.0072 228.7089 0012537 261.8399  98.1301 14.14999893507216,,,,,,,9000,850.45,,7.429965328
2,GENERATED VIA SPACE-TRACK.ORG API,2022-06-01T06:56:12,18 SPCS,SL-16 R/B,1992-076B,EARTH,TEME,UTC,SGP4,2022-06-01T04:03:17.222976,14.16498955,0.0011736,71.0002,209.1418,25.0688,355.5824,0,U,22220,999,52707,-6.69E-05,-1.81E-06,0,7215.354,101.659,845.687,828.751,ROCKET BODY,LARGE,CIS,11/17/1992,TTMTR,,3474872,205073074,0 SL-16 R/B,1 22220U 92076B   22152.16894934 -.00000181  00000-0 -66927-4 0  9994,2 22220  71.0002 209.1418 0011736  25.0688 355.5824 14.16498955527077,,,,,,,9000,845.354,,7.432588651
2,GENERATED VIA SPACE-TRACK.ORG API,2022-05-31T22:26:12,18 SPCS,SL-16 R/B,2007-029B,EARTH,TEME,UTC,SGP4,2022-05-31T20:41:09.892320,14.14478828,0.0002907,70.9756,187.7179,274.2637,258.903,0,U,31793,999,77060,-1.78E-05,-8.20E-07,0,7222.223,101.804,846.187,841.988,ROCKET BODY,LARGE,CIS,6/29/2007,TTMTR,,3474200,205033470,0 SL-16 R/B,1 31793U 07029B   22151.86192005 -.00000082  00000-0 -17817-4 0  9993,2 31793  70.9756 187.7179 0002907 274.2637 258.9030 14.14478828770602,,,,,,,9000,852.223,,7.429053272
2,GENERATED VIA SPACE-TRACK.ORG API,2022-06-01T06:14:15,18 SPCS,SL-16 R/B,2000-006B,EARTH,TEME,UTC,SGP4,2022-05-31T20:27:13.201632,14.15490412,0.0014747,71.0016,114.1032,123.0553,237.1988,0,U,26070,999,15356,0.00014332,2.33E-06,0,7218.781,101.732,851.292,830.001,ROCKET BODY,LARGE,CIS,2/3/2000,TTMTR,,3474670,205049608,0 SL-16 R/B,1 26070U 00006B   22151.85223613  .00000233  00000-0  14332-3 0  9996,2 26070  71.0016 114.1032 0014747 123.0553 237.1988 14.15490412153565,,,,,,,9000,848.781,,7.430824191
2,GENERATED VIA SPACE-TRACK.ORG API,2022-06-01T06:14:15,18 SPCS,SL-16 R/B,1985-097B,EARTH,TEME,UTC,SGP4,2022-05-31T18:19:41.209824,14.16278105,0.0008543,71.0007,160.6482,212.0191,320.6139,0,U,16182,999,89210,-7.29E-05,-1.93E-06,0,7216.105,101.675,844.134,831.805,ROCKET BODY,LARGE,CIS,10/22/1985,TTMTR,,3474670,205047215,0 SL-16 R/B,1 16182U 85097B   22151.76367141 -.00000193  00000-0 -72921-4 0  9993,2 16182  71.0007 160.6482 0008543 212.0191 320.6139 14.16278105892107,,,,,,,9000,846.105,,7.432201876
2,GENERATED VIA SPACE-TRACK.ORG API,2022-06-01T06:14:15,18 SPCS,SL-16 R/B,1990-046B,EARTH,TEME,UTC,SGP4,2022-05-31T17:54:57.696768,14.14697721,0.0016222,70.9997,310.9907,242.8605,117.0863,0,U,20625,999,65349,3.12E-05,1.20E-07,0,7221.478,101.789,855.057,831.628,ROCKET BODY,LARGE,CIS,5/22/1990,TTMTR,,3474670,205048353,0 SL-16 R/B,1 20625U 90046B   22151.74650112  .00000012  00000-0  31202-4 0  9996,2 20625  70.9997 310.9907 0016222 242.8605 117.0863 14.14697721653492,,,,,,,9000,851.478,,7.429436469
2,GENERATED VIA SPACE-TRACK.ORG API,2022-06-01T06:14:15,18 SPCS,SL-16 R/B,2001-056F,EARTH,TEME,UTC,SGP4,2022-05-31T20:16:12.733248,13.7097767,0.001383,99.5741,287.6507,296.5131,228.3026,0,U,27006,999,2438,9.82E-06,-3.60E-07,0,7374.2,105.035,1006.264,985.867,ROCKET BODY,LARGE,CIS,12/10/2001,TTMTR,,3474670,205051164,0 SL-16 R/B,1 27006U 01056F   22151.84459182 -.00000036  00000-0  98155-5 0  9992,2 27006  99.5741 287.6507 0013830 296.5131 228.3026 13.70977670 24386,,,,,,,9000,1004.2,,7.352100982
2,GENERATED VIA SPACE-TRACK.ORG API,2022-06-01T06:14:15,18 SPCS,SL-16 R/B,1995-058B,EARTH,TEME,UTC,SGP4,2022-05-31T20:52:19.418016,14.15173051,0.0010722,71.0209,192.0832,54.2064,306.0054,0,U,23705,999,37290,0.00013859,2.22E-06,0,7219.861,101.754,849.467,833.984,ROCKET BODY,LARGE,CIS,10/31/1995,TTMTR,,3474670,205051017,0 SL-16 R/B,1 23705U 95058B   22151.86966919  .00000222  00000-0  13859-3 0  9994,2 23705  71.0209 192.0832 0010722  54.2064 306.0054 14.15173051372903,,,,,,,9000,849.861,,7.430268392
2,GENERATED VIA SPACE-TRACK.ORG API,2022-06-01T06:14:15,18 SPCS,SL-16 R/B,1998-045B,EARTH,TEME,UTC,SGP4,2022-05-31T20:10:39.021888,14.1586158,0.0009066,71.0107,198.2762,313.5595,46.4774,0,U,25407,999,23205,-0.00010497,-2.54E-06,0,7217.52,101.705,845.928,832.841,ROCKET BODY,LARGE,CIS,7/28/1998,TTMTR,,3474670,205051068,0 SL-16 R/B,1 25407U 98045B   22151.84072942 -.00000254  00000-0 -10497-3 0  9998,2 25407  71.0107 198.2762 0009066 313.5595  46.4774 14.15861580232056,,,,,,,9000,847.52,,7.431473296
2,GENERATED VIA SPACE-TRACK.ORG API,2022-06-01T06:14:15,18 SPCS,SL-16 R/B,1994-077B,EARTH,TEME,UTC,SGP4,2022-05-31T20:44:36.717504,14.15256957,7.18E-05,70.9834,10.3822,129.9693,230.1493,0,U,23405,999,42127,0.00014373,2.32E-06,0,7219.575,101.748,841.959,840.922,ROCKET BODY,LARGE,CIS,11/24/1994,TTMTR,,3474670,205049751,0 SL-16 R/B,1 23405U 94077B   22151.86431386  .00000232  00000-0  14373-3 0  9999,2 23405  70.9834  10.3822 0000718 129.9693 230.1493 14.15256957421271,,,,,,,9000,849.575,,7.430415563
