CCSDS_OMM_VERS,COMMENT,CREATION_DATE,ORIGINATOR,OBJECT_NAME,OBJECT_ID,CENTER_NAME,REF_FRAME,TIME_SYSTEM,MEAN_ELEMENT_THEORY,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT,SEMIMAJOR_AXIS,PERIOD,APOAPSIS,PERIAPSIS,OBJECT_TYPE,RCS_SIZE,COUNTRY_CODE,LAUNCH_DATE,SITE,DECAY_DATE,FILE,GP_ID,TLE_LINE0,TLE_LINE1,TLE_LINE2,,,,,,,AVG_ALTITUDE,,AVG_VELOCITY
2,GENERATED VIA SPACE-TRACK.ORG API,2022-06-03T02:31:39,18 SPCS,CALSPHERE 1,1964-063C,EARTH,TEME,UTC,SGP4,2022-06-02T22:55:14.886624,13.73804492,0.0029697,90.1763,40.6493,65.9685,306.9478,0,U,900,999,86867,0.00044403,4.26E-06,0,7364.081,104.818,1007.815,964.077,PAYLOAD,SMALL,US,10/6/1964,AFWTR,,3477983,205191227,0 CALSPHERE 1,1 00900U 64063C   22153.95503341  .00000426  00000-0  44403-3 0  9991,2 00900  90.1763  40.6493 0029697  65.9685 306.9478 13.73804492868678,,,,,,,994.081,,7.357150517
2,GENERATED VIA SPACE-TRACK.ORG API,2022-06-03T02:31:39,18 SPCS,CALSPHERE 2,1964-063E,EARTH,TEME,UTC,SGP4,2022-06-02T22:41:12.661152,13.52715523,0.001805,90.1905,43.7191,183.7496,187.4372,0,U,902,999,65681,8.54E-05,6.60E-07,0,7440.421,106.453,1075.716,1048.856,PAYLOAD,SMALL,US,10/6/1964,AFWTR,,3477983,205190727,0 CALSPHERE 2,1 00902U 64063E   22153.94528543  .00000066  00000-0  85403-4 0  9999,2 00902  90.1905  43.7191 0018050 183.7496 187.4372 13.52715523656816,,,,,,,1070.421,,7.31931039
2,GENERATED VIA SPACE-TRACK.ORG API,2022-06-03T02:31:39,18 SPCS,TEMPSAT 1,1965-065E,EARTH,TEME,UTC,SGP4,2022-06-02T22:18:35.343072,13.33450816,0.0071879,89.9144,218.781,72.0085,100.8847,0,U,1512,999,76343,4.22E-05,3.10E-07,0,7511.912,107.99,1187.772,1079.782,PAYLOAD,SMALL,US,8/13/1965,AFWTR,,3477983,205190234,0 TEMPSAT 1,1 01512U 65065E   22153.92957573  .00000031  00000-0  42220-4 0  9999,2 01512  89.9144 218.7810 0071879  72.0085 100.8847 13.33450816763432,,,,,,,1141.912,,7.284398122
2,GENERATED VIA SPACE-TRACK.ORG API,2022-06-03T02:31:39,18 SPCS,CALSPHERE 4(A),1965-065H,EARTH,TEME,UTC,SGP4,2022-06-02T21:19:50.668896,13.35888408,0.0067584,89.9917,130.1719,305.7738,86.8768,0,U,1520,999,76571,0.00010974,6.50E-07,0,7502.772,107.793,1175.343,1073.93,PAYLOAD,SMALL,US,8/13/1965,AFWTR,,3477983,205190485,0 CALSPHERE 4(A),1 01520U 65065H   22153.88878089  .00000065  00000-0  10974-3 0  9994,2 01520  89.9917 130.1719 0067584 305.7738  86.8768 13.35888408765715,,,,,,,1132.772,,7.288833758
2,GENERATED VIA SPACE-TRACK.ORG API,2022-06-03T07:16:12,18 SPCS,OPS 5712 (P/L 160),1967-053A,EARTH,TEME,UTC,SGP4,2022-06-03T04:36:07.669152,14.50575552,0.0005409,69.9275,322.565,358.687,1.4249,0,U,2826,999,85116,0.00039509,1.49E-05,0,7101.906,99.271,727.613,719.93,PAYLOAD,MEDIUM,US,5/31/1967,AFWTR,,3478455,205225859,0 OPS 5712 (P/L 160),1  2826U 67053A   22154.19175543  .00001489  00000-0  39509-3 0  9999,2  2826  69.9275 322.5650 0005409 358.6870   1.4249 14.50575552851166,,,,,,,731.906,,7.491718659
2,GENERATED VIA SPACE-TRACK.ORG API,2022-06-03T02:31:39,18 SPCS,SURCAL 159,1967-053F,EARTH,TEME,UTC,SGP4,2022-06-02T16:38:25.929888,13.98909279,0.0008804,69.9745,296.124,247.4643,112.5533,0,U,2872,999,80380,5.36E-05,2.40E-07,0,7275.712,102.937,903.982,891.171,PAYLOAD,MEDIUM,US,5/31/1967,AFWTR,,3477983,205190764,0 SURCAL 159,1 02872U 67053F   22153.69335567  .00000024  00000-0  53577-4 0  9994,2 02872  69.9745 296.1240 0008804 247.4643 112.5533 13.98909279803801,,,,,,,905.712,,7.401694735
2,GENERATED VIA SPACE-TRACK.ORG API,2022-06-03T02:31:39,18 SPCS,OPS 5712 (P/L 153),1967-053H,EARTH,TEME,UTC,SGP4,2022-06-02T22:56:46.582944,13.96404775,0.0009457,69.9753,36.1972,300.7511,59.2662,0,U,2874,999,80080,5.74E-05,2.60E-07,0,7284.408,103.122,913.162,899.385,PAYLOAD,MEDIUM,US,5/31/1967,AFWTR,,3477983,205191765,0 OPS 5712 (P/L 153),1 02874U 67053H   22153.95609471  .00000026  00000-0  57403-4 0  9997,2 02874  69.9753  36.1972 0009457 300.7511  59.2662 13.96404775800804,,,,,,,914.408,,7.397275408
2,GENERATED VIA SPACE-TRACK.ORG API,2022-06-03T06:56:14,18 SPCS,SURCAL 150B,1967-053J,EARTH,TEME,UTC,SGP4,2022-06-03T04:19:27.561504,14.64011808,0.0002791,69.9479,312.7285,26.8437,333.2848,0,U,2909,999,86202,0.0004506,2.30E-05,0,7058.387,98.36,682.222,678.282,PAYLOAD,SMALL,US,5/31/1967,AFWTR,,3478309,205222322,0 SURCAL 150B,1  2909U 67053J   22154.18018011  .00002297  00000-0  45060-3 0  9993,2  2909  69.9479 312.7285 0002791  26.8437 333.2848 14.64011808862025,,,,,,,688.387,,7.514778539
2,GENERATED VIA SPACE-TRACK.ORG API,2022-06-03T06:36:13,18 SPCS,RIGIDSPHERE 2 (LCS 4),1971-067E,EARTH,TEME,UTC,SGP4,2022-06-03T04:18:10.150560,14.34232113,0.006549,87.625,26.9281,72.9905,287.8455,0,U,5398,999,66244,0.0001271,3.84E-06,0,7155.756,100.402,824.484,730.758,PAYLOAD,MEDIUM,US,8/7/1971,AFWTR,,3478155,205218514,0 RIGIDSPHERE 2 (LCS 4),1  5398U 71067E   22154.17928415  .00000384  00000-0  12710-3 0  9996,2  5398  87.6250  26.9281 0065490  72.9905 287.8455 14.34232113662444,,,,,,,785.756,,7.463476297
2,GENERATED VIA SPACE-TRACK.ORG API,2022-06-03T06:36:13,18 SPCS,OSCAR 7,1974-089B,EARTH,TEME,UTC,SGP4,2022-06-03T05:12:35.336160,12.53655153,0.0012647,101.9035,134.0426,69.6353,0.7337,0,U,7530,999,17592,5.53E-05,-3.70E-07,0,7827.381,114.864,1459.145,1439.346,PAYLOAD,MEDIUM,US,11/15/1974,AFWTR,,3478124,205217682,0 OSCAR 7,1  7530U 74089B   22154.21707565 -.00000037  00000-0  55269-4 0  9992,2  7530 101.9035 134.0426 0012647  69.6353   0.7337 12.53655153175928,,,,,,,1457.381,,7.136095981
2,GENERATED VIA SPACE-TRACK.ORG API,2022-06-03T02:31:39,18 SPCS,STARLETTE,1975-010A,EARTH,TEME,UTC,SGP4,2022-06-02T17:20:11.193792,13.82312882,0.0205806,49.8226,168.3474,228.9598,129.3346,0,U,7646,999,39044,-4.84E-06,-1.47E-06,0,7333.832,104.173,1106.631,804.762,PAYLOAD,MEDIUM,FR,2/6/1975,FRGUI,,3477983,205190902,0 STARLETTE,1 07646U 75010A   22153.72235178 -.00000147  00000-0 -48368-5 0  9992,2 07646  49.8226 168.3474 0205806 228.9598 129.3346 13.82312882390449,,,,,,,963.832,,7.372307493
2,GENERATED VIA SPACE-TRACK.ORG API,2022-06-03T06:56:14,18 SPCS,OSCAR 11 (UoSAT 2),1984-021B,EARTH,TEME,UTC,SGP4,2022-06-03T05:18:22.337568,14.8365738,0.0008819,97.6168,142.3047,19.27,340.8847,0,U,14781,999,5893,6.94E-05,5.23E-06,0,6995.94,97.057,623.975,611.636,PAYLOAD,MEDIUM,UK,3/1/1984,AFWTR,,3478306,205222785,0 OSCAR 11 (UoSAT 2),1 14781U 84021B   22154.22109187  .00000523  00000-0  69372-4 0  9991,2 14781  97.6168 142.3047 0008819  19.2700 340.8847 14.83657380 58930,,,,,,,625.94,,7.548243149
2,GENERATED VIA SPACE-TRACK.ORG API,2022-06-03T02:31:39,18 SPCS,EGS (AJISAI),1986-061A,EARTH,TEME,UTC,SGP4,2022-06-02T21:42:46.406592,12.44496273,0.0011449,50.0114,3.7748,26.0861,127.5396,0,U,16908,999,29668,7.70E-06,-9.60E-07,0,7865.737,115.709,1496.608,1478.597,PAYLOAD,LARGE,JPN,8/12/1986,TNSTA,,3477983,205195456,0 EGS (AJISAI),1 16908U 86061A   22153.90470378 -.00000096  00000-0  77040-5 0  9995,2 16908  50.0114   3.7748 0011449  26.0861 127.5396 12.44496273296684,,,,,,,1495.737,,7.118675707
